scaler,method,threshold,kept_count,total_numeric,fraction_variance_kept,accuracy_cv,auc_cv,error
minmax,percentile,0.24997241645502147,3,45,0.08453621383774287,0.7346301575908123,0.6974472690928675,
minmax,elbow,0.24998886679136528,1,45,0.028179601485794393,,,
minmax,information_theory,0.23141470442161793,18,45,0.49769063380508965,0.7836121483644105,0.8223561080694672,
minmax,emc_inspired,0.0874569632691205,3,45,0.035030963254088755,0.7346301575908123,0.5611827322465773,
minmax,cross_validation,0.2098351279151745,24,45,0.6464696016014004,0.7870196262662107,0.8258542607026265,
zscore,percentile,1.0000000000000004,3,45,0.0666666666666667,0.7309387904058327,0.7048571027625075,
zscore,elbow,1.0000000000000004,3,45,0.0666666666666667,0.7309387904058327,0.7048571027625075,
zscore,information_theory,0.9999999999999991,45,45,1.0,0.8049088852506614,0.8450870645442873,
zscore,emc_inspired,1.0,3,45,0.06666666666666668,0.7346301575908123,0.6270532012934629,
zscore,cross_validation,1.0,29,45,0.6444444444444445,0.7928416752693722,0.8356274120546898,
robust,percentile,0.2780062676230394,3,45,0.10786387685251073,0.7847476046841732,0.807254289249508,
robust,elbow,0.2499773757475957,6,45,0.18568786698123554,0.7868777824375766,0.8192003266093735,
robust,information_theory,0.34412898465120306,1,45,0.046484306434164756,,,
robust,emc_inspired,0.0874569632691205,5,45,0.08860661661294503,0.7867361402348538,0.8122836843599887,
robust,cross_validation,0.24149561458426339,17,45,0.4671501818446859,0.8047669406090716,0.8416772987032545,
