,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
PC1,0.14432939540601145,-0.24518758025722054,-0.0020510614443710815,-0.23932040548753472,0.14199204195298706,0.39466084506663013,0.42293429671005894,-0.29853310295471497,0.3134294883076885,-0.08861670472472281,0.2967145635863811,0.3761674107387125,0.2867522268968049
PC2,0.48365154781721403,0.22493093462784475,0.31606881402531534,-0.010590502288190806,0.2996340032378617,0.0650395118192795,-0.0033598121003078907,0.028779488112986917,0.03930172228973271,0.5299956720700434,-0.2792351479242821,-0.1644961928357846,0.364902831798082
PC3,-0.20738262411635644,0.08901288565965762,0.626223900869347,0.6120803499457822,0.13075693485027695,0.14617896348467269,0.15068189989944866,0.1703681623596501,0.14945430946202587,-0.13730621249024233,0.08522192250689174,0.16600458808752733,-0.12674591734770105
PC4,-0.017856301455504174,0.5368902835499767,-0.21417556220576836,0.06085941445874485,-0.35179658014753507,0.1980683479012168,0.1522947945906741,-0.20330101989022803,0.3990565328722279,0.06592568164393142,-0.42777140939123265,0.18412074275613755,-0.23207086035959507
PC5,-0.2656636529233709,0.03521362829134809,-0.14302547378954206,0.0661029415745132,0.7270485147762086,-0.1493184093072303,-0.10902583840040843,-0.5007029831994554,0.1368598211548327,-0.07643677955216975,-0.17361452207203806,-0.10116098886385573,-0.15786879990457023
PC6,0.21353864800907962,0.5368138499724358,0.15447466469938093,-0.10082450514462862,0.038143939910939215,-0.08412229981830083,-0.01892002308981293,-0.2585940109685926,-0.5337953885005292,-0.41864414154682716,0.10598274249092242,0.2658510745057212,0.11972557201255271
PC7,-0.056396358034875325,0.4205239093226314,-0.14917061134950516,-0.28696913571381066,0.322883302632056,-0.027924975289922868,-0.060685214214124844,0.5954472891508666,0.3721393457376188,-0.22771214024487194,0.23207564135128073,-0.04476370074148213,0.07680450460250021
PC8,0.39613925845779313,0.06582674359524868,-0.17026002087333336,0.42797018288686295,-0.1563614328505732,-0.4059340856209059,-0.18724535654700847,-0.23328464922758815,0.36822675027957874,-0.033796916892636045,0.43662362487712864,-0.07810789230702389,0.12002266897605435
PC9,-0.5086191162648733,0.07528304410109232,0.30769444529779416,-0.20044931390204057,-0.27140257227013187,-0.2860345200528967,-0.049578491848696685,-0.19550131947129165,0.20914486771259141,-0.056217522765710654,-0.08582839468705684,-0.13722690191657477,0.5757861074770244
PC10,0.21160472708141073,-0.3090799436141718,-0.027125388629335487,0.05279942386967253,0.06787022282079196,-0.32013135216451366,-0.16315050975100556,0.21553507026138224,0.13418390004452546,-0.29077518401072655,-0.5223988869984881,0.5237058682643181,0.16211599759003065
PC11,-0.22591696213674034,0.07648553925086435,-0.49869141510647075,0.4793137800675689,0.0712889146583893,0.3043411879422855,-0.02569409348902523,0.11689586310384001,-0.2373625653477474,0.03183879824934001,-0.04821200956766077,0.046423297470411934,0.5392698276758519
PC12,-0.26628645084605757,0.12169603538537724,-0.04962237326461632,-0.055742869086882293,0.06222010539311895,-0.3038824511326397,-0.042898828719207624,0.042352188689325804,-0.09555302711823942,0.6042216256710405,0.259213995282228,0.6009587206020466,-0.07940162172924489
PC13,0.014969970638802153,0.025963746080350864,-0.14121803175162947,0.09168285458075767,0.05677422187890417,-0.4639079139055215,0.8322570647314009,0.11403984974032742,-0.11691706718619477,-0.011992802469990646,-0.08988884454102482,-0.15671813472992008,0.014447336701468024
